,state,sum
303,"[4, 8, 16, 16, 32, 128]",204
304,"[4, 8, 64, 128]",204
305,"[2, 4, 8, 64, 128]",206
306,"[2, 4, 8, 32, 32, 128]",206
307,"[2, 2, 4, 8, 64, 128]",208
308,"[4, 4, 8, 64, 128]",208
309,"[4, 4, 8, 32, 32, 128]",208
310,"[2, 4, 4, 8, 64, 128]",210
311,"[2, 8, 8, 64, 128]",210
312,"[2, 2, 8, 8, 64, 128]",212
313,"[4, 4, 4, 8, 64, 128]",212
314,"[2, 2, 16, 64, 128]",212
315,"[4, 8, 8, 64, 128]",212
316,"[2, 4, 16, 64, 128]",214
317,"[2, 4, 8, 8, 64, 128]",214
318,"[2, 2, 4, 16, 64, 128]",216
319,"[4, 4, 16, 64, 128]",216
320,"[4, 4, 8, 8, 64, 128]",216
321,"[2, 4, 4, 16, 64, 128]",218
322,"[2, 8, 16, 64, 128]",218
323,"[2, 2, 8, 16, 64, 128]",220
324,"[4, 4, 4, 16, 64, 128]",220
325,"[4, 8, 16, 64, 128]",220
326,"[2, 4, 8, 16, 64, 128]",222
327,"[2, 2, 4, 8, 16, 64, 128]",224
328,"[4, 4, 8, 16, 64, 128]",224
329,"[2, 4, 4, 8, 16, 64, 128]",226
330,"[2, 8, 8, 16, 64, 128]",226
331,"[2, 2, 8, 8, 16, 64, 128]",228
332,"[4, 4, 4, 8, 16, 64, 128]",228
333,"[2, 2, 16, 16, 64, 128]",228
334,"[4, 8, 8, 16, 64, 128]",228
335,"[2, 4, 16, 16, 64, 128]",230
336,"[2, 4, 8, 8, 16, 64, 128]",230
337,"[2, 4, 32, 64, 128]",230
338,"[2, 2, 4, 32, 64, 128]",232
339,"[4, 4, 16, 16, 64, 128]",232
340,"[2, 2, 4, 16, 16, 64, 128]",232
341,"[4, 4, 8, 8, 16, 64, 128]",232
342,"[4, 4, 32, 64, 128]",232
343,"[2, 4, 4, 32, 64, 128]",234
344,"[2, 8, 32, 64, 128]",234
345,"[2, 4, 4, 16, 16, 64, 128]",234
346,"[2, 8, 16, 16, 64, 128]",234
347,"[2, 2, 8, 32, 64, 128]",236
348,"[4, 4, 4, 32, 64, 128]",236
349,"[4, 8, 32, 64, 128]",236
350,"[4, 8, 16, 16, 64, 128]",236
351,"[2, 4, 8, 32, 64, 128]",238
352,"[2, 2, 4, 8, 32, 64, 128]",240
353,"[4, 4, 8, 32, 64, 128]",240
354,"[2, 4, 4, 8, 32, 64, 128]",242
355,"[2, 8, 8, 32, 64, 128]",242
356,"[2, 2, 8, 8, 32, 64, 128]",244
357,"[4, 4, 4, 8, 32, 64, 128]",244
358,"[2, 2, 16, 32, 64, 128]",244
359,"[4, 8, 8, 32, 64, 128]",244
360,"[2, 4, 16, 32, 64, 128]",246
361,"[2, 4, 8, 8, 32, 64, 128]",246
362,"[2, 2, 4, 16, 32, 64, 128]",248
363,"[4, 4, 16, 32, 64, 128]",248
364,"[4, 4, 8, 8, 32, 64, 128]",248
365,"[2, 4, 4, 16, 32, 64, 128]",250
366,"[2, 8, 16, 32, 64, 128]",250
367,"[2, 2, 8, 16, 32, 64, 128]",252
368,"[4, 4, 4, 16, 32, 64, 128]",252
369,"[4, 8, 16, 32, 64, 128]",252
370,"[2, 4, 8, 16, 32, 64, 128]",254
371,"[2, 2, 4, 8, 16, 32, 64, 128]",256
372,"[4, 4, 8, 16, 32, 64, 128]",256
373,"[2, 4, 4, 8, 16, 32, 64, 128]",258
374,"[2, 8, 8, 16, 32, 64, 128]",258
375,"[2, 2, 8, 8, 16, 32, 64, 128]",260
376,"[4, 4, 4, 8, 16, 32, 64, 128]",260
377,"[2, 2, 16, 16, 32, 64, 128]",260
378,"[4, 8, 8, 16, 32, 64, 128]",260
379,"[2, 4, 16, 16, 32, 64, 128]",262
380,"[2, 4, 8, 8, 16, 32, 64, 128]",262
381,"[2, 4, 32, 32, 64, 128]",262
382,"[2, 2, 4, 32, 32, 64, 128]",264
383,"[4, 4, 16, 16, 32, 64, 128]",264
384,"[2, 2, 4, 16, 16, 32, 64, 128]",264
385,"[4, 4, 8, 8, 16, 32, 64, 128]",264
386,"[2, 2, 4, 64, 64, 128]",264
387,"[4, 4, 32, 32, 64, 128]",264
388,"[2, 4, 4, 64, 64, 128]",266
389,"[2, 4, 4, 32, 32, 64, 128]",266
390,"[2, 8, 32, 32, 64, 128]",266
391,"[2, 4, 4, 16, 16, 32, 64, 128]",266
392,"[2, 8, 16, 16, 32, 64, 128]",266
393,"[2, 4, 4, 128, 128]",266
394,"[2, 8, 64, 64, 128]",266
395,"[2, 2, 8, 128, 128]",268
396,"[4, 4, 4, 64, 64, 128]",268
397,"[2, 2, 8, 64, 64, 128]",268
398,"[4, 8, 32, 32, 64, 128]",268
399,"[4, 4, 4, 32, 32, 64, 128]",268
400,"[2, 2, 8, 32, 32, 64, 128]",268
401,"[4, 8, 16, 16, 32, 64, 128]",268
402,"[2, 2, 8, 256]",268
403,"[4, 4, 4, 128, 128]",268
404,"[4, 8, 64, 64, 128]",268
405,"[2, 4, 8, 256]",270
406,"[2, 4, 8, 128, 128]",270
407,"[2, 4, 8, 64, 64, 128]",270
408,"[2, 4, 8, 32, 32, 64, 128]",270
409,"[2, 2, 4, 8, 256]",272
410,"[4, 4, 8, 256]",272
411,"[4, 4, 8, 128, 128]",272
412,"[2, 2, 4, 8, 128, 128]",272
413,"[4, 4, 8, 64, 64, 128]",272
414,"[2, 2, 4, 8, 64, 64, 128]",272
415,"[4, 4, 8, 32, 32, 64, 128]",272
416,"[2, 4, 4, 8, 256]",274
417,"[2, 8, 8, 256]",274
418,"[2, 4, 4, 8, 128, 128]",274
419,"[2, 8, 8, 128, 128]",274
420,"[2, 4, 4, 8, 64, 64, 128]",274
421,"[2, 8, 8, 64, 64, 128]",274
422,"[2, 2, 8, 8, 256]",276
423,"[4, 4, 4, 8, 256]",276
424,"[2, 2, 16, 256]",276
